geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/DatasetId,properties/VersionNumber,properties/ReleaseNumber,properties/RowId,properties/Attributes/Name,properties/Attributes/global_id,properties/Attributes/AdmArea,properties/Attributes/District,properties/Attributes/DescriptionLocation,properties/Attributes/Address,properties/Attributes/EventDate,properties/Attributes/TIME,properties/Attributes/PaymentInfo,type
37.453675398177296,55.85579616656824,Point,2249,1,25,,Детская площадка № 4,841863571,Северо-Западный административный округ,район Северное Тушино,ГАУК г. Москвы «МПК «Северное Тушино»,"улица Свободы, дом 56, строение 1",Круглогодично,с 06:00 до 24:00,Бесплатно,Feature
37.82759465641373,55.76715058144248,Point,2249,1,25,,Концертно-театральная шоу-студия «Вместе»,840238815,Восточный административный округ,район Ивановское,ГБУК г. Москвы «Государственный музей - культурный центр «Интеграция» имени Н.А.Островского»,"улица Саянская, дом 6Б","Вторник, четверг",С 19:00 до 21:00,Бесплатно,Feature
37.396506,55.651247,Point,2249,1,25,,"«Fiesta» Студия бального танца. Бальный танец – это красота движений, чувство ритма, отличная координация, осанка, гармоничное физическое и моральное воспитание растущего ребенка. Возраст: от 4.5 до 13 лет.",841846254,Западный административный округ,район Солнцево,"ГБУК г. Москвы «Объединение «ВЗ Москвы», Арт-Центр «Солнцево»","улица Богданова, дом 44",Сентябрь-май,"Вторник, четверг, суббота с 16:00 до 20:15",Платная,Feature
37.668614218245196,55.738601361994334,Point,2249,1,25,,Студия рисования песком,837584691,Центральный административный округ,Таганский район,ГАУК г. Москвы ПКиО «Таганский»,"улица Таганская, дом 40-42, строение 6, Основная территория ближе к Покровскому монастырю",Круглогодично,с 10.00 до 19.00,По билетам,Feature
37.77168163194601,55.74303979990647,Point,2249,1,25,,Студия бисероплетения «Жар-птица»,840237621,Восточный административный округ,район Перово,ГБУК г. Москвы «Государственный музей - культурный центр «Интеграция» имени Н.А.Островского»,"улица Лазо, дом 12","Вторник, пятница",С 14:00 до 17:00,Бесплатно,Feature
37.805508999999944,55.675254470740775,Point,2249,1,25,,Танцевальный коллектив «Солнышко»,861098226,Юго-Восточный административный округ,район Люблино,ГБУК г. Москвы «Территориальная клубная система «Спутник»,"улица Головачева, дом 3, корпус 2, метро «Люблино», последний вагон из центра, выход в сторону Т К «Москва», авт. 242, 228, 54 до остановки «ул.Головачева дом 7»",Круглогодично,С 17:00 до 19:00,Платно,Feature
37.294915,55.613372,Point,2249,1,25,,Хореографическая студия «Жемчужина - Пяти-па» (4+),840234548,Западный административный округ,район Внуково,ГБУК г. Москвы «Культурный центр «Внуково»,"улица Большая Внуковская, дом 6","С сентября по май (вторник, четверг)",С 16:30 до 17:30,Платно,Feature
37.72089671163929,55.60905721915026,Point,2249,1,25,,"Студия робототехники «Электроник». В программе: моделирование различных моторизированных механизмов, разработка программного обеспечения, знакомство с основными принципами механики и робототехники, Возраст: от 4 лет. Форма проведения занятий: групповая.",861098394,Южный административный округ,район Орехово-Борисово Южное,ГБУК г. Москвы «Государственный экспериментальный Центр культуры и искусства «Авангард»,"улица Генерала Белова, дом 18","Вторник, четверг",С 16:20-17:50,Платно,Feature
37.35223088626012,55.639460215055614,Point,2249,1,25,,Клуб «Встреча»,841556203,Западный административный округ,район Ново-Переделкино,ГБУК г. Москвы «ТКС «Ново-Переделкино»,"улица Шолохова, дом 12, первый этаж жилого дома, вход с торца здания",Ежедневно,"Будни с 9:00 до 21:00; суббота, воскресенье с 09:00 до 19:00","Кружки по записи, на мероприятия- вход свободный",Feature
37.6641267559576,55.810232142440235,Point,2249,1,25,,Детская площадка 1,837586142,Восточный административный округ,район Сокольники,ГАУК г. Москвы «Парк культуры и отдыха «Сокольники»,"Парк Сокольники, южная часть Путяевского пруда",Круглогодично,09:00-19:00,Бесплатно,Feature
