"id";"tag";"geom";"data_source"
"275";"playground";"POINT (37.6330222 55.7666472)";"OpenStreetMap"
"276";"playground";"POINT (37.650037 55.819752)";"OpenStreetMap"
"277";"playground";"POINT (37.6515924 55.8204122)";"OpenStreetMap"
"278";"playground";"POINT (37.6492106 55.8196316)";"OpenStreetMap"
"279";"playground";"POINT (37.6491892 55.8204875)";"OpenStreetMap"
"280";"playground";"POINT (37.6399685 55.7402685)";"OpenStreetMap"
"281";"playground";"POINT (38.0497306 55.7434986)";"OpenStreetMap"
"282";"sports_centre";"POINT (37.4486432 55.7920856)";"OpenStreetMap"
"283";"playground";"POINT (37.4568507 55.7880107)";"OpenStreetMap"
"284";"playground";"POINT (37.4642127 55.6558447)";"OpenStreetMap"
"285";"playground";"POINT (37.4650981 55.6600811)";"OpenStreetMap"
"286";"playground";"POINT (37.5632282 55.7888127)";"OpenStreetMap"
"287";"playground";"POINT (37.6425567 55.8205084)";"OpenStreetMap"
"288";"fitness_station";"POINT (37.659762 55.8287136)";"OpenStreetMap"
"289";"playground";"POINT (37.6811035 55.7905839)";"OpenStreetMap"
"290";"playground";"POINT (37.5939262 55.6815308)";"OpenStreetMap"
"291";"playground";"POINT (37.592282 55.6821707)";"OpenStreetMap"
"292";"playground";"POINT (37.5935252 55.6822379)";"OpenStreetMap"
"293";"playground";"POINT (37.5911064 55.6827827)";"OpenStreetMap"
"294";"playground";"POINT (37.5944577 55.6831694)";"OpenStreetMap"
"295";"playground";"POINT (37.5914132 55.6831999)";"OpenStreetMap"
"296";"sports_centre";"POINT (37.9715466 55.8249759)";"OpenStreetMap"
"297";"playground";"POINT (37.4399282 55.8623921)";"OpenStreetMap"
"298";"playground";"POINT (37.4461146 55.8632827)";"OpenStreetMap"
"299";"playground";"POINT (37.4510874 55.8603385)";"OpenStreetMap"
"300";"sports_centre";"POINT (37.5424828 55.894169)";"OpenStreetMap"
"301";"playground";"POINT (37.5434519 55.6012982)";"OpenStreetMap"
"302";"playground";"POINT (37.5443048 55.6011466)";"OpenStreetMap"
"303";"playground";"POINT (37.9993984 55.8038971)";"OpenStreetMap"
"304";"playground";"POINT (38.510287 56.0750189)";"OpenStreetMap"
"305";"sports_centre";"POINT (37.520624 55.6422091)";"OpenStreetMap"
"306";"sports_centre";"POINT (38.4618589 55.7982552)";"OpenStreetMap"
"307";"sports_centre";"POINT (38.4348496 55.7803529)";"OpenStreetMap"
"308";"playground";"POINT (37.6728312 55.6404545)";"OpenStreetMap"
"309";"playground";"POINT (37.6739524 55.6396824)";"OpenStreetMap"
"310";"playground";"POINT (38.0767506 55.6218262)";"OpenStreetMap"
"311";"playground";"POINT (38.0770138 55.622063)";"OpenStreetMap"
"312";"playground";"POINT (37.6391578 55.7707378)";"OpenStreetMap"
"313";"pitch";"POINT (37.6321937 55.7180694)";"OpenStreetMap"
"314";"playground";"POINT (37.4188847 55.8406022)";"OpenStreetMap"
"315";"pitch";"POINT (37.7181747 55.8141864)";"OpenStreetMap"
"316";"playground";"POINT (37.4863396 55.7669451)";"OpenStreetMap"
"317";"playground";"POINT (37.6942483 55.5830668)";"OpenStreetMap"
"318";"playground";"POINT (37.6919309 55.583276)";"OpenStreetMap"
"319";"playground";"POINT (37.6929394 55.5847223)";"OpenStreetMap"
"320";"playground";"POINT (37.6907561 55.5816963)";"OpenStreetMap"
"321";"playground";"POINT (37.6963083 55.5837308)";"OpenStreetMap"
"322";"playground";"POINT (37.6965 55.5856526)";"OpenStreetMap"
"323";"playground";"POINT (37.6958791 55.5835064)";"OpenStreetMap"
"324";"playground";"POINT (37.8000852 55.7141431)";"OpenStreetMap"
"325";"playground";"POINT (37.4454174 55.8632194)";"OpenStreetMap"
"326";"playground";"POINT (37.8434695 55.9343036)";"OpenStreetMap"
"327";"playground";"POINT (37.7375462 55.6020254)";"OpenStreetMap"
"328";"playground";"POINT (37.7388543 55.6020525)";"OpenStreetMap"
"329";"playground";"POINT (37.7603813 55.5892701)";"OpenStreetMap"
"330";"fitness_station";"POINT (37.4553188 55.7364966)";"OpenStreetMap"
"331";"playground";"POINT (37.4562361 55.7386935)";"OpenStreetMap"
"332";"playground";"POINT (37.5217894 55.8274175)";"OpenStreetMap"
"333";"playground";"POINT (37.972958 55.8311313)";"OpenStreetMap"
"334";"playground";"POINT (37.7730155 55.7470982)";"OpenStreetMap"
"335";"playground";"POINT (37.719941 55.5521252)";"OpenStreetMap"
"336";"playground";"POINT (37.7171462 55.5515031)";"OpenStreetMap"
"337";"playground";"POINT (37.7207403 55.5532327)";"OpenStreetMap"
"338";"sports_centre";"POINT (37.737011 55.78444)";"OpenStreetMap"
"339";"playground";"POINT (37.4414305 55.8610368)";"OpenStreetMap"
"340";"playground";"POINT (37.4415593 55.8604467)";"OpenStreetMap"
"341";"playground";"POINT (37.8353006 55.7340101)";"OpenStreetMap"
"342";"playground";"POINT (37.7275441 55.6849603)";"OpenStreetMap"
"343";"sports_centre";"POINT (37.717062 55.6772722)";"OpenStreetMap"
"344";"playground";"POINT (37.7245239 55.6854291)";"OpenStreetMap"
"345";"playground";"POINT (37.8349603 55.7348904)";"OpenStreetMap"
"346";"sports_centre";"POINT (37.6859789 55.8827094)";"OpenStreetMap"
"347";"playground";"POINT (37.6840851 55.8773267)";"OpenStreetMap"
"348";"playground";"POINT (37.4736261 55.7857328)";"OpenStreetMap"
"349";"playground";"POINT (37.6361597 55.7710576)";"OpenStreetMap"
"350";"playground";"POINT (37.6878873 55.8764349)";"OpenStreetMap"
