Address,Id,IsLocked,Geom,TotalPlaces,TotalOrdinaryPlaces,TotalElectricPlaces,FreeOrdinaryPlaces,FreeElectricPlaces
"ул. Кузнецкий мост, д.13/9, стр.1",0035,False,POINT (37.623177 55.762217),18,18,0,11,0
"ул. Сокольнический Вал (напротив д.28, стр.1)",0479,False,POINT (37.6669605 55.7916073),12,12,0,8,0
"Ленинградский пр-т, д.14, к.1",0424,False,POINT (37.57797 55.78045),15,15,0,1,0
"Ленинский пр-т, д.34/1",0310,False,POINT (37.578173 55.707107),12,12,0,6,0
"Ленинский пр-т, д.54",0311,False,POINT (37.560729 55.697476),12,12,0,8,0
"2-я Брестская ул., д.31",0232,False,POINT (37.586215 55.7733),12,12,0,10,0
"пер. Сивцев Вражек, д.26, стр.1",0054,False,POINT (37.592209 55.747411),12,12,0,0,0
"2-я Тверская-Ямская ул., д.54",0401,False,POINT (37.589687 55.775457),12,12,0,7,0
"Ленинский пр-т, д.73/8",0320,False,POINT (37.546468 55.688153),15,15,0,10,0
"Ленинский пр-т, д.66",0313,False,POINT (37.550374 55.691214),12,12,0,8,0
"Ломоносовский пр-т (дублёр, напротив д.1, стр.64)",0359,False,POINT (37.533756 55.695176),18,18,0,1,0
ст. м. Краснопресненская,0241,False,POINT (37.5776708 55.7604391),30,12,18,12,17
"Ленинский пр-т, д.9, стр.3",0315,False,POINT (37.605352 55.724388),12,12,0,7,0
"Москворецкая наб., д.2А",0024,False,POINT (37.6386809 55.7478923),15,15,0,1,0
"Ленинский пр-т, д.60/2",0312,False,POINT (37.556333 55.694853),12,12,0,6,0
"ул. Нижняя Масловка, д.5, к.1",0428,False,POINT (37.5841 55.79185),15,15,0,8,0
"Цветной б-р., д.34, стр.1",0122,False,POINT (37.6212721 55.7730885),24,24,0,3,0
"ул. Новокузнецкая, д.43/16, стр.1 (ст. м. Павелецкая (кольцевая))",0148,False,POINT (37.6358074 55.7310887),12,12,0,4,0
"Ленинградский пр-т, д.44",0521,False,POINT (37.5455944 55.7950047),15,15,0,10,0
"Космодамианская наб., д.22, стр.1",0071,False,POINT (37.6417277 55.7434283),12,12,0,5,0
"ул. Пятницкая, д.48, стр.1",0078,False,POINT (37.6276564 55.7353228),12,12,0,8,0
"Ленинградский пр-т, д.54/1",0522,False,POINT (37.53978 55.79759),15,15,0,6,0
"Ленинградский пр-т, д.39, стр.17",0512,False,POINT (37.54216 55.79538),15,15,0,4,0
"ул. Пресненский Вал, д.24",0237,False,POINT (37.5655623 55.7692458),12,12,0,10,0
"Мичуринский пр-т, д.12, к.1",0300,False,POINT (37.5073382 55.7032223),12,12,0,10,0
"пр-т Вернадского, д.11/19",0302,False,POINT (37.530764 55.6897298),12,12,0,4,0
"пр-т Вернадского, д.14",0303,False,POINT (37.5045648 55.6765135),12,12,0,10,0
"Ленинский пр-т, д.86",0314,False,POINT (37.529704 55.6780815),12,12,0,9,0
