code,arrivals,average,departures,dayscount_total,geom,slots,name,unique_clients,unique_rides,roundtrips
341,2443,18,2384,131,POINT (37.594389 55.709908),12,"ул. Орджоникидзе, д.11, стр.1/2",1071,45,26
342,898,16,890,57,POINT (37.529504 55.723348),12,"ул. Мосфильмовская, д.1, стр.4",438,49,20
343,4861,32,4901,153,POINT (37.555253 55.706436),12,"ул. Косыгина, д.26",2993,61,25
344,2629,17,2594,151,POINT (37.564811 55.706706),12,"ул. Косыгина, д.8, стр.2",1633,63,36
345,3621,22,3413,153,POINT (37.577367 55.708347),12,"ул. Косыгина, д.2, стр.19",2009,59,32
346,3408,26,3245,127,POINT (37.58531 55.70674),12,ст.м.Ленинский проспект (южный вестибюль),1383,43,21
347,2352,20,2294,113,POINT (37.589305 55.691394),12,"ул. Шверника, д.13, корп.1",558,24,30
348,1333,16,1299,83,POINT (37.517116 55.716167),12,"ул. Мосфильмовская, д.17/25",511,39,30
349,5330,35,5377,152,POINT (37.535522 55.706203),12,Университетский пр-т (напротив ГЗ МГУ),3207,60,40
350,4130,27,4175,153,POINT (37.562406 55.691564),15,"ул. Вавилова, д.55/7",1389,33,25
351,5180,34,5278,153,POINT (37.572092 55.688317),12,"ул. Дмитрия Ульянова, д.20",1747,33,27
352,7521,50,7671,153,POINT (37.528497 55.703177),24,ул. Академика Хохлова (рядом с ГЗ МГУ),1658,22,25
353,939,9,983,105,POINT (37.608993 55.671798),12,"ул. Криворожская, д.33Г",408,42,31
354,2046,16,1944,120,POINT (37.507289 55.710413),12,"Ломоносовский пр-т, д.43/40",711,37,37
355,3655,23,3476,152,POINT (37.514291 55.705293),12,"Ломоносовский пр-т, д.29, корп.3",1253,36,27
356,2464,19,2881,152,POINT (37.522672 55.701742),12,"Ломоносовский пр-т (дублер), пересечение с ул. Менделеева",1326,46,25
357,1496,11,1722,152,POINT (37.523769 55.699342),12,"Ломоносовский пр-т (дублер), д.27",690,40,20
358,3105,21,3265,152,POINT (37.528489 55.698436),12,"Ломоносовский пр-т (дублер), пересечение с ул. Лебедева",1177,36,28
359,3099,29,4362,150,POINT (37.534131 55.694653),18,"Ломоносовский пр-т (дублер, напротив д.1, стр.64)",1790,41,14
360,9783,70,10722,153,POINT (37.535269 55.693169),18,"пл. Джавахарлала Неру, д.1",3018,28,17
361,1585,13,1553,118,POINT (37.552045 55.684712),12,"Ломоносовский пр-т, д.2/62, стр.8",719,46,18
362,3214,21,3133,150,POINT (37.56205 55.678678),15,"Нахимовский пр-т, д.46",1316,42,27
363,1957,15,1958,128,POINT (37.582721 55.671656),12,"Нахимовский пр-т, д.24",646,33,22
364,1942,14,1893,132,POINT (37.519887 55.683724),12,"ул. Марии Ульяновой, д.16",718,38,41
365,1469,12,1565,127,POINT (37.532632 55.678715),12,"ул. Гарибальди, д.1А",692,44,19
367,1581,13,1466,113,POINT (37.576526 55.661945),12,"Севастопольский пр-т, д.28, корп.4",470,32,29
368,991,9,960,106,POINT (37.608093 55.659191),12,"Симферопольский б-р, д.4",383,40,35
369,1923,15,1946,129,POINT (37.519698 55.671388),12,"ул. Удальцова, д.2",826,42,33
370,2597,20,2627,130,POINT (37.53734 55.66462),12,"ул. Воронцовские Пруды, д.3",933,36,44
371,2343,20,2313,113,POINT (37.559341 55.660896),12,"ул. Новочерёмушкинская, д.71/32",540,23,19
372,2250,19,2169,113,POINT (37.570446 55.656726),12,"ул. Каховка, д.29А",743,34,22
373,3123,32,3177,98,POINT (37.596253 55.652451),12,"ул. Азовская, д.24, корп.2",871,27,18
374,1511,14,1607,111,POINT (37.552978 55.651252),12,"ул. Обручева, д.33А",367,23,15
375,2145,19,2150,113,POINT (37.564201 55.650211),12,"ул. Обручева, д.65/54",627,29,27
