code;arrivals;average;departures;dayscount_total;geom;slots;name;unique_clients;unique_rides;roundtrips;arr_p_dep;dep_per_days;av_p_dep__per_days
142;1481;10;1523;151;POINT (37.655567 55.752247);12;ул. Земляной Вал, д.48Б;781;51;17;3004;10,08609272;19,89403974
144;1475;10;1431;150;POINT (37.655467 55.749356);12;ул. Земляной Вал, д.52/16, стр.2;808;56;26;2906;9,54;19,37333333
146;2834;22;2681;122;POINT (37.647831 55.737643);12;Гончарная наб., д.3, стр.3;1665;62;34;5515;21,97540984;45,20491803
148;4281;28;4246;153;POINT (37.63885 55.731861);12;ул. Бахрушина, д.31/12, стр.3;1972;46;23;8527;27,75163399;55,73202614
150;4406;28;4301;152;POINT (37.629661 55.729697);12;ул. Валовая, д.20;1804;42;23;8707;28,29605263;57,28289474
151;2174;21;2043;98;POINT (37.623162 55.729074);12;ул. Люсиновская, д.2;980;48;32;4217;20,84693878;43,03061224
152;3619;23;3436;148;POINT (37.610825 55.730486);8;ул. Крымский Вал, д.4 (ст.м.Октябрьская);2391;70;23;7055;23,21621622;47,66891892
154;9166;59;8892;152;POINT (37.610658 55.729919);20;ул. Крымский Вал, д.3, стр.16;5747;65;35;18058;58,5;118,8026316
156;6663;55;6176;113;POINT (37.606376 55.731918);20;ул. Крымский Вал, д.8, корп.2;3970;64;41;12839;54,65486726;113,619469
157;3308;43;2515;59;POINT (37.605268 55.731775);32;напротив входа в Парк Горького;1726;69;35;5823;42,62711864;98,69491525
200;8906;55;8414;153;POINT (37.596925 55.733558);12;Фрунзенская наб. (напротив д.4);5027;60;25;17320;54,99346405;113,2026144
201;6949;41;6200;152;POINT (37.589864 55.725747);22;Фрунзенская наб. (пересеч. с 1-ой Фрунзенской ул.);3642;59;28;13149;40,78947368;86,50657895
202;2732;17;2588;152;POINT (37.584417 55.728007);12;Комсомольский пр-т (пересеч. с 1-ой Фрунзенской ул.);1288;50;27;5320;17,02631579;35
203;2017;13;1876;145;POINT (37.579058 55.724242);9;Комсомольский пр-т (пересеч. со 2-ой Фрунзенской ул.);852;45;30;3893;12,93793103;26,84827586
204;4326;26;3903;152;POINT (37.5864 55.72175);8;Фрунзенская наб. (пересеч. со 2-й Фрунзенской ул.);2406;62;26;8229;25,67763158;54,13815789
205;3264;20;3104;152;POINT (37.575858 55.721972);12;Комсомольский пр-т (пересеч. с 3-ей Фрунзенской ул.);973;31;29;6368;20,42105263;41,89473684
206;4261;26;3901;151;POINT (37.583486 55.719197);10;Фрунзенская наб. (пересеч. с 3-ей Фрунзенской ул.);2217;57;26;8162;25,83443709;54,05298013
207;5144;39;4915;126;POINT (37.577989 55.715508);16;Фрунзенская наб, д. 54 (пересеч. с ул. Хамовнический Вал);2760;56;25;10059;39,00793651;79,83333333
208;2741;18;2666;152;POINT (37.565242 55.723833);12;ул. 10-летия Октября (напротив д.29, корп.3, ст.м.Спортивная);1077;40;28;5407;17,53947368;35,57236842
209;2748;17;2660;153;POINT (37.561797 55.721839);24;ст.м.Спортивная (выход к Хамовническому Валу);1126;42;33;5408;17,38562092;35,34640523
210;9350;57;8666;153;POINT (37.569522 55.712558);34;Лужнецкая наб. (пересеч. с Новолужнецким пр.);4474;52;27;18016;56,64052288;117,751634
211;10940;61;9222;152;POINT (37.560011 55.711594);48;ст.м.Воробьёвы горы (Лужники);4596;50;31;20162;60,67105263;132,6447368
212;10971;68;10279;152;POINT (37.547253 55.726989);34;Лужнецкая наб. (напротив д.24, стр.33);4828;47;25;21250;67,625;139,8026316
213;1746;12;1649;139;POINT (37.559608 55.726908);12;ул. Большая Пироговская (на площади Новодевичьего Монастыря);968;59;22;3395;11,86330935;24,42446043
214;1924;13;1948;153;POINT (37.569297 55.731139);12;ул. Большая Пироговская, д.2, стр.4;565;29;19;3872;12,73202614;25,30718954
215;3448;23;3451;152;POINT (37.575489 55.733867);21;ул. Большая Пироговская (напротив д.15/18, стр.1);1125;33;31;6899;22,70394737;45,38815789
216;2325;16;2411;152;POINT (37.581356 55.736464);12;ул. Большая Пироговская (напротив д.6/25);801;33;28;4736;15,86184211;31,15789474
217;1754;13;1851;148;POINT (37.577028 55.730711);12;ул. Усачева, д.2, стр.1;635;34;23;3605;12,50675676;24,35810811
218;4906;31;4685;153;POINT (37.580778 55.726481);24;Комсомольский пр-т (напротив д.28, ст.м.Фрунзенская);2081;44;21;9591;30,62091503;62,68627451
219;1527;9;1387;150;POINT (37.570481 55.719322);12;Комсомольский пр-т (дублер, напротив д.48/22);569;41;31;2914;9,246666667;19,42666667
220;5346;36;5524;153;POINT (37.5772 55.760688);12;ул. Красная Пресня, д.1;2194;40;23;10870;36,10457516;71,04575163
221;4059;30;4567;153;POINT (37.56359 55.762431);12;ул. Красная Пресня, д.31;1687;37;20;8626;29,8496732;56,37908497
222;2936;18;2716;152;POINT (37.559078 55.756869);12;ул. Мантулинская, д.2;1023;38;18;5652;17,86842105;37,18421053
223;4045;25;3749;151;POINT (37.551319 55.756097);12;ул. Мантулинская, д.5, стр.21;1316;35;35;7794;24,82781457;51,61589404
224;3000;19;2865;151;POINT (37.546129 55.748805);12;Краснопресненская наб., д.14, стр.1;1622;57;24;5865;18,97350993;38,8410596
225;1065;6;940;146;POINT (37.551733 55.751661);12;Краснопресненская наб., вл.5 (усадьба Студенец);620;66;27;2005;6,438356164;13,73287671
226;3306;21;3172;152;POINT (37.559449 55.754196);12;Краснопресненская наб., д.12А;1831;58;25;6478;20,86842105;42,61842105
227;2899;18;2791;153;POINT (37.543647 55.747917);12;Краснопресненская наб., д.16, стр.1;1340;48;21;5690;18,24183007;37,18954248
228;1830;14;1702;121;POINT (37.545641 55.75749);12;Шмитовский пр., д.16, стр.2;459;27;30;3532;14,0661157;29,19008264
229;1196;12;1508;121;POINT (37.552939 55.764236);12;Звенигородское ш., д.7;468;31;17;2704;12,46280992;22,34710744
231;2971;26;3151;119;POINT (37.583 55.7771);12;пл. Тверская Застава, д.7;1216;39;19;6122;26,4789916;51,44537815
232;3541;24;3635;153;POINT (37.585931 55.773158);12;ул. 2-я Брестская, д.31;1320;36;23;7176;23,75816993;46,90196078
233;2204;17;2537;153;POINT (37.587989 55.767778);12;ул. Гашека, д.2, стр.1;782;31;21;4741;16,58169935;30,9869281
234;3062;21;3145;153;POINT (37.582292 55.770222);12;ул. Большая Грузинская, д.39;1064;34;21;6207;20,55555556;40,56862745
